level;character;pinyin
hsk1;准备;zhǔnbèi
hsk1;桌子;zhuōzi
hsk1;字;zì
hsk1;子;zi （ zhuō zi ）
hsk1;走;zǒu
hsk1;走路;zǒu lù
hsk1;最;zuì
hsk1;最好;zuìhǎo
hsk1;最后;zuìhòu
hsk1;昨天;zuótiān
hsk1;左;zuǒ
hsk1;左边;zuǒbian
hsk1;坐;zuò
hsk1;坐下;zuò xià
hsk1;做;zuò
hsk2;啊;a
hsk2;爱情;àiqíng
hsk2;爱人;ài rén
hsk2;安静;ānjìng
hsk2;安全;ānquán
hsk2;白色;bái sè
hsk2;班长;bān zhǎng
hsk2;办;bàn
hsk2;办法;bànfǎ
hsk2;办公室;bàngōngshì
hsk2;半夜;bàn yè
hsk2;帮助;bāngzhù
hsk2;饱;bǎo
hsk2;报名;bàomíng
hsk2;报纸;bàozhǐ
hsk2;北方;běifāng
hsk2;背;bēi
hsk2;比如;bǐrú
hsk2;比如说;bǐ rú shuō
hsk2;笔;bǐ
hsk2;笔记;bǐ jì
hsk2;笔记本;bǐjìběn
hsk2;必须;bìxū
hsk2;边;biān
hsk2;变;biàn
hsk2;变成;biàn chéng
hsk2;遍;biàn
hsk2;表;biǎo
hsk2;表示;biǎoshì
hsk2;不错;bú cuò
hsk2;不但;bú dàn
hsk2;不够;bú gòu
hsk2;不过;búguò
hsk2;不太;bú tài
hsk2;不要;bú yào
hsk2;不好意思;bù hǎo yì sī
hsk2;不久;bù jiǔ
hsk2;不满;bù mǎn
hsk2;不如;bùrú
hsk2;不少;bù shǎo
hsk2;不同;bù tóng
hsk2;不行;bù xíng
hsk2;不一定;bù yī dìng
hsk2;不一会儿;bù yī huìr
hsk2;部分;bùfen
hsk2;才;cái
hsk2;菜单;càidān
hsk2;参观;cānguān
hsk2;参加;cānjiā
hsk2;草;cǎo
hsk2;草地;cǎo dì
hsk2;层;céng
hsk2;查;chá
hsk2;差不多;chàbuduō
hsk2;长;cháng
hsk2;常见;cháng jiàn
hsk2;常用;cháng yòng
hsk2;场;chǎng
hsk2;超过;chāoguò
hsk2;超市;chāoshì
hsk2;车辆;chē liàng
hsk2;称¹;chēng
hsk2;成;chéng
hsk2;成绩;chéngjì
hsk2;成为;chéngwéi
hsk2;重复;chóngfù
hsk2;重新;chóngxīn
hsk2;出发;chūfā
hsk2;出国;chū guó
hsk2;出口;chū kǒu
hsk2;出门;chū mén
hsk2;出生;chūshēng
hsk2;出现;chūxiàn
hsk2;出院;chū yuàn
hsk2;出租;chū zū
hsk2;出租车;chūzūchē
hsk2;船;chuán
hsk2;吹;chuī
hsk2;春节;chūn jié
hsk2;春天;chūn tiān
hsk2;词;cí
hsk2;词典;cídiǎn
hsk2;词语;cíyǔ
hsk2;从小;cóng xiǎo
hsk2;答应;dāying
hsk2;打工;dǎgōng
hsk2;打算;dǎsuàn
hsk2;打印;dǎyìn
hsk2;大部分;dà bù fèn
hsk2;大大;dà dà
hsk2;大多数;dà duō shù
hsk2;大海;dà hǎi
hsk2;大家;dàjiā
hsk2;大量;dà liàng
hsk2;大门;dà mén
hsk2;大人;dà rén
hsk2;大声;dà shēng
hsk2;大小;dà xiǎo
hsk2;大衣;dà yī
hsk2;大自然;dà zì rán
hsk2;带;dài
hsk2;带来;dài lái
hsk2;单位;dānwèi
hsk2;但;dàn
hsk2;但是;dàn shì
hsk2;蛋;dàn
hsk2;当;dāng
hsk2;当时;dāngshí
hsk2;倒;dǎo
hsk2;到处;dàochù
hsk2;倒;dào
hsk2;道;dào
hsk2;道理;dàolǐ
hsk2;道路;dào lù
hsk2;得;dé
hsk2;得出;dé chū
hsk2;的话;de huà
hsk2;得;de
